,length,pos,sent_id,stem,word
757,7,NN,47,morn,morning
758,1,",",47,",",","
759,2,IN,47,as,as
760,4,PRP,47,they,they
761,8,JJ,47,prepar,prepared
762,3,IN,47,for,for
763,5,PRP$,47,their,their
764,7,NN,47,journey,journey
765,3,CC,47,and,and
766,5,VBD,47,wave,waved
767,7,NN,47,goodby,goodbye
768,3,CC,47,and,and
769,2,``,47,``,``
770,7,VBD,47,slip,slipped
771,3,DT,47,the,the
772,5,RB,47,surli,surly
773,5,NNS,47,bond,bonds
774,2,IN,47,of,of
775,5,NN,47,earth,earth
776,2,'',47,'',''
777,2,TO,47,to,to
778,2,``,47,``,``
779,5,NN,47,touch,touch
780,3,DT,47,the,the
781,4,NN,47,face,face
782,2,IN,47,of,of
783,3,NN,47,god,god
784,1,.,47,.,.
785,2,'',47,'',''
786,5,NN,48,thank,thank
787,3,PRP,48,you,you
788,1,.,48,.,.
