,speaker,name,has_conclusion,has_conditional,has_example,has_opposition,has_result,has_sequence,has_similarity,has_parallel,alliteration_count,intensifier_count,is_question,ourselves,she,themselves,you,ours,it,yourself,yourselves,itself,my,hers,her,theirs,we,i,me,myself,your,yours,them,our,himself,his,their,they,mine,herself,us,its,he,him,Pronoun,Adverb,Foreign,Determiner,Existential,Misc,Verb,Adjective,Noun,.
0,Churchill,Beaches,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.08285714285714285,0.03142857142857143,0.0,0.12,0.0,0.20285714285714285,0.19428571428571428,0.06571428571428571,0.18,0.12285714285714286
1,Churchill,FinestHour,0.13291139240506328,0.10759493670886076,0.10126582278481013,0.22784810126582278,0.08227848101265822,0.3291139240506329,0.06962025316455696,0.006329113924050633,0.7658227848101266,0.18354430379746836,0.03164556962025317,0.03164556962025317,0.006329113924050633,0.03164556962025317,0.0,0.006329113924050633,0.2468354430379747,0.0,0.0,0.006329113924050633,0.0,0.0,0.006329113924050633,0.0,0.3987341772151899,0.17721518987341772,0.03164556962025317,0.006329113924050633,0.0,0.0,0.06329113924050633,0.2721518987341772,0.0,0.02531645569620253,0.15822784810126583,0.13924050632911392,0.006329113924050633,0.0,0.06329113924050633,0.02531645569620253,0.03164556962025317,0.006329113924050633,0.07270833333333333,0.059166666666666666,0.0004166666666666667,0.12020833333333333,0.0022916666666666667,0.196875,0.17375,0.08854166666666667,0.19645833333333335,0.08958333333333333
2,FDR,PearlHarbor,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.0,0.6923076923076923,0.11538461538461539,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.038461538461538464,0.0,0.0,0.050173010380622836,0.04152249134948097,0.0,0.10899653979238755,0.0017301038062283738,0.18339100346020762,0.14013840830449828,0.11591695501730104,0.25432525951557095,0.10380622837370242
3,Henry,LibertyDeath,0.013333333333333334,0.02666666666666667,0.0,0.13333333333333333,0.013333333333333334,0.2,0.02666666666666667,0.0,0.5866666666666667,0.05333333333333334,0.30666666666666664,0.06666666666666667,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.25333333333333335,0.0,0.02666666666666667,0.0,0.06666666666666667,0.0,0.0,0.013333333333333334,0.37333333333333335,0.17333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.2,0.0,0.0,0.02666666666666667,0.05333333333333334,0.0,0.0,0.14666666666666667,0.02666666666666667,0.0,0.0,0.09339080459770115,0.04597701149425287,0.0,0.10344827586206896,0.0035919540229885057,0.16594827586206898,0.20402298850574713,0.0610632183908046,0.1939655172413793,0.1285919540229885
4,Lincoln,Gettysburg,0.2,0.0,0.0,0.4,0.1,0.2,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0935483870967742,0.09032258064516129,0.0,0.11290322580645161,0.0,0.16129032258064516,0.19032258064516128,0.08064516129032258,0.14516129032258066,0.12580645161290321
5,Pericles,Sepulcher,0.09473684210526316,0.17894736842105263,0.11578947368421053,0.35789473684210527,0.021052631578947368,0.2736842105263158,0.11578947368421053,0.0,0.8736842105263158,0.14736842105263157,0.0,0.031578947368421054,0.021052631578947368,0.010526315789473684,0.15789473684210525,0.010526315789473684,0.18947368421052632,0.0,0.0,0.0,0.042105263157894736,0.010526315789473684,0.08421052631578947,0.0,0.29473684210526313,0.16842105263157894,0.031578947368421054,0.0,0.06315789473684211,0.010526315789473684,0.17894736842105263,0.3263157894736842,0.010526315789473684,0.05263157894736842,0.23157894736842105,0.28421052631578947,0.0,0.0,0.15789473684210525,0.021052631578947368,0.05263157894736842,0.010526315789473684,0.10862299465240642,0.05447860962566845,0.0,0.09324866310160428,0.001002673796791444,0.2159090909090909,0.1607620320855615,0.07720588235294118,0.19618983957219252,0.09258021390374331
6,Urban,Infidels,0.046153846153846156,0.03076923076923077,0.07692307692307693,0.15384615384615385,0.046153846153846156,0.13846153846153847,0.03076923076923077,0.015384615384615385,0.6923076923076923,0.046153846153846156,0.1076923076923077,0.0,0.0,0.015384615384615385,0.4307692307692308,0.0,0.13846153846153847,0.0,0.03076923076923077,0.0,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.12307692307692308,0.0,0.0,0.15384615384615385,0.0,0.12307692307692308,0.03076923076923077,0.0,0.1076923076923077,0.09230769230769231,0.03076923076923077,0.0,0.0,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.09013157894736842,0.05,0.0,0.10986842105263157,0.0013157894736842105,0.20394736842105263,0.19342105263157894,0.053289473684210525,0.19276315789473683,0.10526315789473684
7,WillConq,BeYe,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.21739130434782608,0.0,0.0,0.6086956521739131,0.0,0.30434782608695654,0.0,0.0,0.0,0.30434782608695654,0.0,0.21739130434782608,0.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.43478260869565216,0.0,0.0,0.13043478260869565,0.043478260869565216,0.30434782608695654,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.13043478260869565,0.11496062992125984,0.05196850393700787,0.0015748031496062992,0.09763779527559055,0.0015748031496062992,0.19370078740157481,0.15748031496062992,0.03937007874015748,0.2125984251968504,0.12913385826771653
8,Wilson,SafeDem,0.10679611650485436,0.10679611650485436,0.0970873786407767,0.22330097087378642,0.05825242718446602,0.30097087378640774,0.038834951456310676,0.009708737864077669,0.8640776699029126,0.2912621359223301,0.009708737864077669,0.05825242718446602,0.019417475728155338,0.009708737864077669,0.019417475728155338,0.0,0.42718446601941745,0.0,0.0,0.038834951456310676,0.02912621359223301,0.0,0.038834951456310676,0.009708737864077669,0.30097087378640774,0.1650485436893204,0.019417475728155338,0.0,0.019417475728155338,0.0,0.1262135922330097,0.22330097087378642,0.0,0.0,0.1941747572815534,0.1262135922330097,0.0,0.0,0.13592233009708737,0.17475728155339806,0.0,0.0,0.0749367088607595,0.051645569620253164,0.0,0.11291139240506329,0.0017721518987341772,0.2230379746835443,0.17215189873417722,0.08962025316455696,0.20481012658227848,0.06911392405063291
